,player,total_workers,total_army,fraction,winner,replay_filename
1284,ObiWanPwnobi,76,1100,P,0,replays/firstRun\7af805bd3d614bea87015d6e983af382.SC2Replay
1285,Harstem,67,3775,P,0,replays/firstRun\7b062cd6e9ab4d1da0e1d8637ada0bcb.SC2Replay
1286,soO,66,9025,Z,1,replays/firstRun\7b062cd6e9ab4d1da0e1d8637ada0bcb.SC2Replay
1287,Zanster,31,1600,Z,0,replays/firstRun\7b0fabf988494de6a4236bc52fba04be.SC2Replay
1288,Lambo,33,1575,Z,1,replays/firstRun\7b0fabf988494de6a4236bc52fba04be.SC2Replay
1289,LiquidTLO,22,1375,Z,1,replays/firstRun\7b494d1fff4a4d398a00a17024e3d7cb.SC2Replay
1290,SouLeer,15,1200,Z,0,replays/firstRun\7b494d1fff4a4d398a00a17024e3d7cb.SC2Replay
1291,Reynor,86,6850,Z,1,replays/firstRun\7b4c7217346c4ce5a4f37dde38fd4ac7.SC2Replay
1292,Clem,74,3500,T,0,replays/firstRun\7b4c7217346c4ce5a4f37dde38fd4ac7.SC2Replay
1293,Dolan,12,0,T,0,replays/firstRun\7b50c3c19d9b45c287a30bfa7b5adc4a.SC2Replay
1294,SLeet,12,100,Z,1,replays/firstRun\7b50c3c19d9b45c287a30bfa7b5adc4a.SC2Replay
1295,Mana,60,1700,P,1,replays/firstRun\7b5cbfc6356942da9bfb483b51e27709.SC2Replay
1296,Silky,52,3625,Z,0,replays/firstRun\7b5cbfc6356942da9bfb483b51e27709.SC2Replay
1297,OGZest,50,775,P,1,replays/firstRun\7b781fe8915d47d8bce49e4b3d274f63.SC2Replay
1298,Kas,46,1700,T,0,replays/firstRun\7b781fe8915d47d8bce49e4b3d274f63.SC2Replay
1299,herO,36,550,P,1,replays/firstRun\7b89e686657b4849ba7fb1265e63d708.SC2Replay
1300,Snute,24,3900,Z,0,replays/firstRun\7b89e686657b4849ba7fb1265e63d708.SC2Replay
1301,Bails,52,1325,P,1,replays/firstRun\7b964cfaa2014d2a9dad265a7406c563.SC2Replay
1302,Pokebunny,42,3350,T,0,replays/firstRun\7b964cfaa2014d2a9dad265a7406c563.SC2Replay
1303,uThermal,54,3750,T,1,replays/firstRun\7bd4f554ae6749988ee925a1c64225b0.SC2Replay
1304,Zanster,47,7300,Z,0,replays/firstRun\7bd4f554ae6749988ee925a1c64225b0.SC2Replay
1305,Ziggy,29,450,T,0,replays/firstRun\7c0d29c3fbb74a65ae5a230cf50d3655.SC2Replay
1306,ZhuGeLiang,32,1050,Z,1,replays/firstRun\7c0d29c3fbb74a65ae5a230cf50d3655.SC2Replay
1307,Lambo,46,7700,Z,0,replays/firstRun\7c152a8f8c6f46abb4592c74471ce7cc.SC2Replay
1308,puCK,66,1725,P,1,replays/firstRun\7c152a8f8c6f46abb4592c74471ce7cc.SC2Replay
1309,GuMiho,42,5050,T,1,replays/firstRun\7c2728aeea5647d5af3cbe2bd4d14260.SC2Replay
1310,TYTY,52,4750,T,0,replays/firstRun\7c2728aeea5647d5af3cbe2bd4d14260.SC2Replay
1311,soul,50,2500,T,1,replays/firstRun\7c39bd730c6c4834a59dfe2d3ad4eb17.SC2Replay
1312,Kas,41,2375,T,0,replays/firstRun\7c39bd730c6c4834a59dfe2d3ad4eb17.SC2Replay
1313,Expect,41,1300,T,0,replays/firstRun\7c4a84e6b50a47d4a62c8aa9f0fc8c6f.SC2Replay
1314,Fist,37,1800,Z,1,replays/firstRun\7c4a84e6b50a47d4a62c8aa9f0fc8c6f.SC2Replay
