,player,total_workers,total_army
427,PengWin,74,14725
428,Dark,46,2850
429,Elazer,45,3350
430,Solar,50,1875
431,SLeet,23,550
432,Serral,66,3375
433,iGiA,53,3075
434,TooDming,61,2850
435,Serral,44,2200
436,YouRush,65,2150
437,PiG,88,11350
438,RiSky,87,11825
439,Dark,48,2300
440,Silky,80,8925
441,LiquidSnute,16,1350
442,TSGSolar,26,1000
443,Guru,56,4800
444,GogojOey,18,700
445,LiquidSnute,37,1300
446,LiquidTLO,32,1125
447,PiG,41,1175
448,Pono,19,800
449,benttwig,21,600
450,Nerchio,73,8700
451,Solar,38,1250
452,Scarlett,48,3725
453,AxImpact,41,4600
454,Silky,80,8650
455,FireCake,69,5850
456,GOStephano,69,3425
457,SortOf,66,10050
458,JonSnow,72,7550
459,Lambo,68,8625
460,GAMETIME,67,6900
461,Serral,23,1775
462,Nerchio,33,2650
463,Reynor,26,1375
464,iAsonu,37,900
465,Beez,32,1350
466,Bly,36,1700
467,Elazer,33,1050
468,LiquidTLO,64,6400
469,Nerchio,64,1750
470,Impact,19,600
471,losira,18,1075
472,NoRegreT,60,4000
473,GogojOey,43,1650
474,NoRegreT,16,800
475,Serral,46,4500
476,RlSky,42,1275
477,PiG,76,9925
478,Guru,60,6825
479,Elazer,51,3850
480,LiquidTLO,54,6400
481,BLY,68,10500
482,SortOf,89,14325
483,LiquidSnute,40,17100
484,Namshar,62,3050
485,TRUE,30,1550
486,Nerchio,35,1875
487,Snute,73,12100
488,viOLet,76,9300
489,LiquidSnute,50,5450
490,Nerchio,35,1200
491,Impact,27,1150
492,Serral,27,1300
493,LiquidTLO,21,1625
494,iAsonu,68,3600
495,CatZ,60,2575
496,LiquidSnute,35,3350
497,Zanster,56,2650
498,Scarlett,32,1500
499,Serral,42,900
500,viOLet,66,3725
501,Namshar,42,1875
502,Solar,51,1625
503,PengWin,42,3325
504,eonblu,38,5050
505,Elazer,62,2075
506,TRUE,61,4000
507,LiquidSnute,64,4475
508,Scarlett,21,925
509,daydrA,36,1800
510,Nerchio,15,950
511,Serral,18,600
512,NXZ,44,2300
513,iAsonu,68,8575
514,Ethereal,34,1150
515,PandaBearMe,55,3775
516,Reynor,48,5675
517,Elazer,34,4650
518,Zanster,36,4600
519,Lambo,68,3250
520,Bly,61,1950
521,Namshar,59,2950
522,Elazer,51,5950
523,Scarlett,50,1700
524,LiquidTLO,50,5550
525,RlSky,39,2625
526,Nerchio,40,2300
527,SortOf,28,3125
528,Serral,57,2450
529,Lambo,53,4100
530,LiquidSnute,27,925
531,Bly,27,800
