,player,total_workers,resource_mining,total_army_value,total_army,supply,time,fraction,winner,replay_filename
7881,soO,65,29330,7200,84.0,168.0,740,Zerg,1,replays/all\9f2897645a27497fa6730cf71bd0105f.SC2Replay
7882,Zanster,30,7179,1500,17.0,52.0,420,Zerg,0,replays/all\9f2a334ecef440b9b9acac7217e3f38b.SC2Replay
7883,Elazer,37,7982,2000,18.0,68.0,420,Zerg,1,replays/all\9f2a334ecef440b9b9acac7217e3f38b.SC2Replay
7884,ShoWTimE,45,9560,925,10.0,78.0,480,Protoss,0,replays/all\9f2b621d36af4f01a8e44193018b809c.SC2Replay
7885,Neeb,45,12498,1175,14.0,86.0,518,Protoss,1,replays/all\9f2b621d36af4f01a8e44193018b809c.SC2Replay
7886,Elazer,15,2460,700,7.0,22.0,186,Zerg,1,replays/all\9f31ee2d5ada4813b793840e5cc1915c.SC2Replay
7887,Zanster,20,2193,500,3.0,22.0,185,Zerg,0,replays/all\9f31ee2d5ada4813b793840e5cc1915c.SC2Replay
7888,TooDming,14,270,100,0.0,14.0,42,Zerg,1,replays/all\9f386d9af659498fbc80708f54a26d78.SC2Replay
7889,Neeb,15,225,0,0.0,15.0,46,Protoss,0,replays/all\9f386d9af659498fbc80708f54a26d78.SC2Replay
7890,doudou,62,32574,3525,58.0,125.0,765,Terraner,0,replays/all\9f3b36ec3b3f4494850979e03a495ba8.SC2Replay
7891,iGMacSed,63,27990,5650,46.0,166.0,798,Zerg,0,replays/all\9f3b36ec3b3f4494850979e03a495ba8.SC2Replay
7892,iGXiGua,0,0,0,0.0,0.0,0,0,0,replays/all\9f3b36ec3b3f4494850979e03a495ba8.SC2Replay
7893,开局要打鸡儿盒饭,0,0,0,0.0,0.0,0,0,0,replays/all\9f3b36ec3b3f4494850979e03a495ba8.SC2Replay
7894,Ziggy,62,37158,5975,77.0,164.0,1001,Terraner,1,replays/all\9f3db53f4fc94e0ab0b6ff0dbf46a01d.SC2Replay
7895,Minatoeh,67,64509,6350,80.0,160.0,1011,Zerg,0,replays/all\9f3db53f4fc94e0ab0b6ff0dbf46a01d.SC2Replay
7896,Reynor,15,2230,750,8.0,30.0,187,Zerg,1,replays/all\9f454ba389444219bd067c49e833df45.SC2Replay
7897,Ryu,19,2432,250,1.0,28.0,183,Zerg,0,replays/all\9f454ba389444219bd067c49e833df45.SC2Replay
7898,iGMacSed,31,5807,450,6.0,46.0,289,Protoss,0,replays/all\9f466d8e33a24ebaa71f4143569836a5.SC2Replay
7899,Silky,19,3853,1050,16.0,36.0,286,Zerg,1,replays/all\9f466d8e33a24ebaa71f4143569836a5.SC2Replay
7900,诡丶计,68,25120,3350,25.0,154.0,608,Zerg,0,replays/all\9f4a976d756545648d5caec6d3f32cd0.SC2Replay
7901,iGJim,68,16749,2375,21.0,125.0,599,Protoss,0,replays/all\9f4a976d756545648d5caec6d3f32cd0.SC2Replay
7902,iGRushcrazy,0,0,0,0.0,0.0,0,0,0,replays/all\9f4a976d756545648d5caec6d3f32cd0.SC2Replay
7903,喵帕斯,0,0,0,0.0,0.0,0,0,0,replays/all\9f4a976d756545648d5caec6d3f32cd0.SC2Replay
7904,Nerchio,53,11410,4800,56.0,130.0,615,Zerg,0,replays/all\9f527da0068a49bc8669f61824b6454c.SC2Replay
7905,Zanster,50,13187,4425,59.5,114.0,612,Zerg,1,replays/all\9f527da0068a49bc8669f61824b6454c.SC2Replay
7906,AGOElazer,60,19748,4775,56.5,154.0,554,Zerg,1,replays/all\9f5f3c00eb0246b4bd18676eaaeef9b9.SC2Replay
7907,Reynor,52,24849,5800,76.0,138.0,622,Zerg,0,replays/all\9f5f3c00eb0246b4bd18676eaaeef9b9.SC2Replay
7908,Ryung,42,8816,2525,34.0,86.0,489,Terraner,0,replays/all\9f676551783f4b39a466d1ce74a2b55a.SC2Replay
7909,Trap,45,8303,525,7.0,70.0,422,Protoss,1,replays/all\9f676551783f4b39a466d1ce74a2b55a.SC2Replay
7910,Silky,62,89423,11350,121.0,200.0,1035,Zerg,0,replays/all\9f69f8cb84b54538bd6540904eaea985.SC2Replay
7911,Jig,57,43894,9925,73.5,200.0,1050,Zerg,1,replays/all\9f69f8cb84b54538bd6540904eaea985.SC2Replay
7912,Bails,37,10907,500,5.0,62.0,430,Protoss,1,replays/all\9f6f27fc53a245b9848e96c5ba6e476b.SC2Replay
7913,jheffe,24,4273,150,2.0,31.0,257,Terraner,0,replays/all\9f6f27fc53a245b9848e96c5ba6e476b.SC2Replay
7914,LiquidClem,77,33457,6875,93.0,200.0,973,Terraner,1,replays/all\9f7499b93b1b4ad08d2b4d568968ef4a.SC2Replay
7915,Kas,76,49187,6225,85.0,180.0,972,Terraner,0,replays/all\9f7499b93b1b4ad08d2b4d568968ef4a.SC2Replay
7916,Geralt,76,57788,2250,24.0,196.0,1028,Protoss,0,replays/all\9f7540e1661c4ba2a8470db64037ca9c.SC2Replay
7917,TLHarstem,82,96305,2950,30.0,200.0,1477,Protoss,1,replays/all\9f7540e1661c4ba2a8470db64037ca9c.SC2Replay
7918,Solar,43,10423,2550,28.0,90.0,419,Zerg,1,replays/all\9f831e2642dc4168966e238b36151b28.SC2Replay
7919,ShoWTimE,41,8515,725,9.0,78.0,437,Protoss,0,replays/all\9f831e2642dc4168966e238b36151b28.SC2Replay
7920,HeroMarine,41,8288,1325,22.0,78.0,412,Terraner,1,replays/all\9fa36f0c26974741a09ce4050ca50fce.SC2Replay
7921,PtitDrogo,46,7427,275,3.0,62.0,416,Protoss,0,replays/all\9fa36f0c26974741a09ce4050ca50fce.SC2Replay
7922,TRUE,40,9165,4650,62.0,122.0,610,Zerg,0,replays/all\9fb5372c60474078a0132929d7f83f10.SC2Replay
7923,Nerchio,57,10510,3800,35.0,114.0,609,Zerg,1,replays/all\9fb5372c60474078a0132929d7f83f10.SC2Replay
