,player,total_workers,resource_mining,total_army_value,total_army,supply,time,fraction,winner,replay_filename
3329,BackupB,50,28430,5600,78.0,149.0,858,Terraner,0,replays/tsRun\0220453eb72e47ff94ea4b22352a4235.SC2Replay
3330,Apogee,27,8997,350,5.0,47.0,349,Terraner,0,replays/tsRun\02416d1b667e42d08d20416e40756707.SC2Replay
3331,Drunkenboi,31,5519,1125,14.0,54.0,348,Terraner,1,replays/tsRun\02416d1b667e42d08d20416e40756707.SC2Replay
3332,PSiArc,73,44444,5400,69.0,181.0,882,Terraner,0,replays/tsRun\024397f44fe54c98b26b69c2b8fb4ea3.SC2Replay
3333,DeMusliM,26,6413,550,7.0,39.0,303,Terraner,0,replays/tsRun\04881a2f8a244809a8ed54ca69a66a09.SC2Replay
3334,Semper,67,29833,3675,65.0,149.0,738,Terraner,1,replays/tsRun\05361f503a2943be9a1ab01aeecca355.SC2Replay
3335,Happy,75,30058,4425,66.0,165.0,762,Terraner,0,replays/tsRun\05620a22926546bfa3af36148e11576d.SC2Replay
3336,Apogee,23,4229,0,0.0,31.0,244,Terraner,0,replays/tsRun\08069d45f202454594baad8b3dbcd02f.SC2Replay
3337,Drunkenboi,23,4195,200,3.0,31.0,235,Terraner,1,replays/tsRun\08069d45f202454594baad8b3dbcd02f.SC2Replay
3338,soul,64,17742,4125,45.0,133.0,640,Terraner,0,replays/tsRun\092189c066a445e1ae0f327e2d0e3191.SC2Replay
3339,HeroMarine,67,18268,4100,43.0,117.0,653,Terraner,1,replays/tsRun\092189c066a445e1ae0f327e2d0e3191.SC2Replay
3340,MaSa,50,10019,1450,25.0,85.0,546,Terraner,1,replays/tsRun\094670d0fa084d9aad8fd11b95f591a0.SC2Replay
3341,xKawaiian,43,14129,2300,35.0,118.0,589,Terraner,0,replays/tsRun\09527d346ae4429f9808a3f78cff8950.SC2Replay
3342,DeMusliM,22,6205,600,12.0,39.0,344,Terraner,0,replays/tsRun\095924aab3f743c7b264f6cb6d9c3e33.SC2Replay
3343,souL,63,19419,3925,60.0,165.0,740,Terraner,0,replays/tsRun\0996c74518394f959e1a99dd52442bb9.SC2Replay
3344,Kozan,54,15289,3500,56.0,118.0,584,Terraner,1,replays/tsRun\1031e221874144edba102c78d84ef410.SC2Replay
3345,MaSa,36,7041,1025,15.0,62.0,366,Terraner,0,replays/tsRun\10743ee64c654d50be22918946c02645.SC2Replay
3346,Namshar,12,50,0,0.0,15.0,0,Terraner,0,replays/tsRun\10992f5ce6c249a9bd1ebf09625e58ff.SC2Replay
3347,MMA,29,9882,1250,16.0,62.0,492,Terraner,0,replays/tsRun\110149bdc00c4f27b8eb6b8807557847.SC2Replay
3348,MaSa,24,3922,525,8.0,39.0,267,Terraner,0,replays/tsRun\1101bf33071f46819b589f660007db5b.SC2Replay
3349,Kelazhur,68,43755,5925,95.0,189.0,865,Terraner,1,replays/tsRun\116207efb25e4edaa3687a13ed4abff7.SC2Replay
3350,liquidthermy,40,7577,1600,27.0,78.0,422,Terraner,0,replays/tsRun\1244ea1743544a7faeed423169d749e0.SC2Replay
