,player,total_workers,resource_mining,total_army_value,total_army,time,fraction,winner,replay_filename
331,iAsonu,63,9937,1975,17,450,Z,0,replays/2ndRun\6b575553492840bf9a73dec4dde46372.SC2Replay
332,PtitDrogo,49,10400,900,5,442,P,1,replays/2ndRun\6b575553492840bf9a73dec4dde46372.SC2Replay
333,NightEnD,67,21579,1675,7,590,P,0,replays/2ndRun\6b67441be97c413f95f9ced6c7b6dc13.SC2Replay
334,Namshar,71,30773,8425,88,715,Z,1,replays/2ndRun\6b67441be97c413f95f9ced6c7b6dc13.SC2Replay
335,LiquidTLO,46,6577,1850,38,443,Z,0,replays/2ndRun\6b8a0746f6aa4856bac6583feeb81fd3.SC2Replay
336,Stats,46,11014,1175,5,444,P,1,replays/2ndRun\6b8a0746f6aa4856bac6583feeb81fd3.SC2Replay
337,Kelazhur,30,8145,500,5,348,T,1,replays/2ndRun\6b9af10595984465a2248434a02c2ab4.SC2Replay
338,ShahriarDeMi,25,8155,725,6,348,T,0,replays/2ndRun\6b9af10595984465a2248434a02c2ab4.SC2Replay
339,PtitDrogo,52,22349,1100,6,566,P,0,replays/2ndRun\6ba2f17d6f6648a996dd2b7849770ee0.SC2Replay
340,soO,63,15722,4100,46,571,Z,1,replays/2ndRun\6ba2f17d6f6648a996dd2b7849770ee0.SC2Replay
341,LiquidSnute,44,7300,1200,16,417,Z,1,replays/2ndRun\6bc38674af2147b8b1043dec71d02d23.SC2Replay
342,Zanster,34,7952,1800,23,425,Z,0,replays/2ndRun\6bc38674af2147b8b1043dec71d02d23.SC2Replay
343,Guru,40,12318,2375,49,577,Z,1,replays/2ndRun\6bc556a16f484f5ab6009f858f9a5fdb.SC2Replay
344,Scarlett,35,7535,1600,32,373,Z,0,replays/2ndRun\6bc556a16f484f5ab6009f858f9a5fdb.SC2Replay
345,iGXiGua,26,4634,800,10,266,Z,0,replays/2ndRun\6bc73b23008c4e71af70c2b31d0fcab7.SC2Replay
346,ZooWhaleTail,29,6310,900,9,273,Z,1,replays/2ndRun\6bc73b23008c4e71af70c2b31d0fcab7.SC2Replay
347,ByuN,43,10178,1675,24,440,T,0,replays/2ndRun\6bd208759843465c94b0e15085bdc509.SC2Replay
348,sOs,51,18965,450,3,511,P,1,replays/2ndRun\6bd208759843465c94b0e15085bdc509.SC2Replay
349,Stats,42,19174,800,4,590,P,1,replays/2ndRun\6be83ca8eccc4e40b5f9f6861eb8fff2.SC2Replay
350,DeMusliM,40,14339,1750,26,603,T,0,replays/2ndRun\6be83ca8eccc4e40b5f9f6861eb8fff2.SC2Replay
351,Polt,69,29074,4800,60,794,T,1,replays/2ndRun\6bf376ee1c494c0ba0e8d30b01e8fccb.SC2Replay
352,Nerchio,70,36792,7400,59,815,Z,0,replays/2ndRun\6bf376ee1c494c0ba0e8d30b01e8fccb.SC2Replay
353,YouRush,78,30012,4550,41,668,Z,0,replays/2ndRun\6c1306ed1ea24bb585e2e6c1600d5032.SC2Replay
354,FWHas,74,34568,5750,22,725,P,1,replays/2ndRun\6c1306ed1ea24bb585e2e6c1600d5032.SC2Replay
355,Harstem,46,13287,2850,11,584,P,0,replays/2ndRun\6c2b9465d6954f27bfe52e86048501e0.SC2Replay
356,Neeb,54,14737,1100,6,583,P,1,replays/2ndRun\6c2b9465d6954f27bfe52e86048501e0.SC2Replay
357,uThermal,32,4983,600,11,323,T,1,replays/2ndRun\6c912ce5b5d04b16a7e45c54f0249aff.SC2Replay
