,player,total_workers,resource_mining,total_army_value,total_army,time,fraction,winner,replay_filename
464,iGiAsonu,35,5747,975,14,319,Z,1,replays/3rdRun\48cf21a7c9a14f27b1aacadcca2980ae.SC2Replay
465,LiquidTLO,35,6699,1500,29,357,Z,0,replays/3rdRun\48cf21a7c9a14f27b1aacadcca2980ae.SC2Replay
466,PartinG,53,28561,1100,4,897,P,1,replays/3rdRun\48d807e0af9c47d2b915aff60c4633ac.SC2Replay
467,FanTaSy,47,33038,3200,31,896,T,0,replays/3rdRun\48d807e0af9c47d2b915aff60c4633ac.SC2Replay
468,Nice,59,15521,2350,10,619,P,1,replays/3rdRun\49d20c9633164db4af46b108ba68f052.SC2Replay
469,jheffe,45,19893,3275,37,634,T,0,replays/3rdRun\49d20c9633164db4af46b108ba68f052.SC2Replay
470,Zest,51,12040,1650,7,489,P,1,replays/3rdRun\50b308725a42493b8f161f3117db0a2d.SC2Replay
471,MMA,45,14018,1350,16,489,T,0,replays/3rdRun\50b308725a42493b8f161f3117db0a2d.SC2Replay
472,LiquidSnute,23,3301,750,11,232,Z,1,replays/3rdRun\50b78d0fb8364330a8f4fdc273f72b63.SC2Replay
473,Solar,13,2160,1200,28,238,Z,0,replays/3rdRun\50b78d0fb8364330a8f4fdc273f72b63.SC2Replay
474,ShoWTimE,67,39140,2475,8,851,P,1,replays/3rdRun\50f803db1bfd46089cfb67891c82c696.SC2Replay
475,GAMETIME,68,17005,8225,91,707,Z,0,replays/3rdRun\50f803db1bfd46089cfb67891c82c696.SC2Replay
476,Dayshi,28,21872,2275,13,657,T,0,replays/3rdRun\51b471f991324c17bf0b1c08d9ccd30d.SC2Replay
477,CMStormPolt,29,19836,2350,17,653,T,1,replays/3rdRun\51b471f991324c17bf0b1c08d9ccd30d.SC2Replay
478,Has,25,4952,350,3,256,P,0,replays/3rdRun\51c04ec0ccdf454b91c4f1dc68a1a3a4.SC2Replay
479,Dark,20,8255,2375,38,403,Z,1,replays/3rdRun\51c04ec0ccdf454b91c4f1dc68a1a3a4.SC2Replay
480,Solar,57,9426,4850,39,513,Z,1,replays/3rdRun\51c4c7c7af6c40808b318c83fd48080b.SC2Replay
481,herO,46,11454,775,4,466,P,0,replays/3rdRun\51c4c7c7af6c40808b318c83fd48080b.SC2Replay
482,MMA,74,29389,7500,40,808,T,1,replays/3rdRun\51d7657fdd4f4f68989b349317d98d9a.SC2Replay
483,DeMusliM,71,28355,6225,58,801,T,0,replays/3rdRun\51d7657fdd4f4f68989b349317d98d9a.SC2Replay
484,Harstem,80,38774,2975,9,860,P,1,replays/3rdRun\51e615ae8bb7428b8a9912ed13d5ed46.SC2Replay
485,JonSnow,80,43555,12275,140,868,Z,0,replays/3rdRun\51e615ae8bb7428b8a9912ed13d5ed46.SC2Replay
486,Neeb,57,13509,1050,4,525,P,0,replays/3rdRun\51eb1085f83e4678bdf4e1be2cc76850.SC2Replay
487,Nerchio,66,11843,2050,32,533,Z,1,replays/3rdRun\51eb1085f83e4678bdf4e1be2cc76850.SC2Replay
488,DnS,49,13324,600,4,478,P,1,replays/3rdRun\51ee1af513674ae3b975d62c0548a606.SC2Replay
489,EnDerr,47,11032,3400,25,476,Z,0,replays/3rdRun\51ee1af513674ae3b975d62c0548a606.SC2Replay
490,ArT,46,11356,1850,10,523,P,1,replays/3rdRun\51f7e7a48c3f459884f62c0d57117ce3.SC2Replay
491,HaPe,40,17042,1500,8,546,P,0,replays/3rdRun\51f7e7a48c3f459884f62c0d57117ce3.SC2Replay
492,Scarlett,21,5798,1350,11,288,Z,0,replays/3rdRun\52be91fafcc244b38f1bb65a88576ab0.SC2Replay
493,ShaDoWn,21,4429,475,2,280,P,1,replays/3rdRun\52be91fafcc244b38f1bb65a88576ab0.SC2Replay
494,Neeb,70,26487,4800,18,790,P,1,replays/3rdRun\52e559fc63974a6bb57a55494577e1b7.SC2Replay
495,Reynor,85,34958,10250,127,867,Z,0,replays/3rdRun\52e559fc63974a6bb57a55494577e1b7.SC2Replay
496,Clem,65,20742,3875,37,721,T,1,replays/3rdRun\52f2945a539c4852a4620897d95ce14e.SC2Replay
497,Harstem,64,25351,1450,6,716,P,0,replays/3rdRun\52f2945a539c4852a4620897d95ce14e.SC2Replay
498,Patience,48,17057,1150,4,559,P,0,replays/3rdRun\52f3043f9fbf46af8e46584b6bb055f9.SC2Replay
499,lIIllllIIlll,53,12446,1925,16,546,T,1,replays/3rdRun\52f3043f9fbf46af8e46584b6bb055f9.SC2Replay
500,Cham,13,3638,1025,27,321,Z,0,replays/3rdRun\52f387f585a0429594fac7fff8c045c4.SC2Replay
501,Nerchio,18,4391,1025,19,323,Z,1,replays/3rdRun\52f387f585a0429594fac7fff8c045c4.SC2Replay
502,LiquidSnute,37,9278,850,10,474,Z,1,replays/3rdRun\53a273bb0caa40399a09b2486715bc3b.SC2Replay
503,Nerchio,35,7036,1150,12,474,Z,0,replays/3rdRun\53a273bb0caa40399a09b2486715bc3b.SC2Replay
504,Solar,21,1915,200,2,187,Z,0,replays/3rdRun\53aadc119b414fc788d495e89bc750a5.SC2Replay
505,soO,13,1962,700,17,181,Z,1,replays/3rdRun\53aadc119b414fc788d495e89bc750a5.SC2Replay
506,Serral,20,2684,600,10,212,Z,1,replays/3rdRun\53bbb2947b2b45408a80eb817da0ff9e.SC2Replay
507,LiquidSnute,24,2783,200,2,216,Z,0,replays/3rdRun\53bbb2947b2b45408a80eb817da0ff9e.SC2Replay
508,Kelazhur,59,17919,3150,38,653,T,1,replays/3rdRun\53bf4b022d1f4beeb075694726b9608f.SC2Replay
509,ByRada,49,24945,6550,54,664,Z,0,replays/3rdRun\53bf4b022d1f4beeb075694726b9608f.SC2Replay
510,Kas,19,1484,0,0,122,T,0,replays/3rdRun\53c4a458b541485ebab37228e322d8c8.SC2Replay
511,HeroMarine,16,977,0,0,115,T,1,replays/3rdRun\53c4a458b541485ebab37228e322d8c8.SC2Replay
512,DnS,23,6479,1050,6,298,P,0,replays/3rdRun\53f55f12d1d44615ac1652176b4eb946.SC2Replay
513,FeaR,27,5454,1050,6,295,P,1,replays/3rdRun\53f55f12d1d44615ac1652176b4eb946.SC2Replay
514,HellraiseR,65,25444,2425,9,655,P,0,replays/3rdRun\54a0639187174fb09f981801b67f6c76.SC2Replay
515,TSGSolar,81,18321,5725,57,657,Z,1,replays/3rdRun\54a0639187174fb09f981801b67f6c76.SC2Replay
