,player,total_workers,resource_mining,total_army_value,total_army,supply,time,fraction,winner,replay_filename
132,iaguz,36,8375,850,15.0,54.0,364,T,0,replays/2ndRun\5a2f1b967320489590f89ce1cd9e5435.SC2Replay
133,Pono,19,4705,800,8.0,36.0,240,Z,1,replays/2ndRun\5a3e7aa3f0ad4aa080bba88b65f42f1d.SC2Replay
134,benttwig,21,4131,600,5.0,30.0,227,Z,0,replays/2ndRun\5a3e7aa3f0ad4aa080bba88b65f42f1d.SC2Replay
135,Nerchio,73,26716,8700,104.0,208.0,806,Z,1,replays/2ndRun\5a5328f50427422a8d5f50a7033cd06e.SC2Replay
136,Kelazhur,65,30789,5825,96.0,181.0,810,T,0,replays/2ndRun\5a5328f50427422a8d5f50a7033cd06e.SC2Replay
137,Solar,38,6746,1250,8.0,60.0,334,Z,1,replays/2ndRun\5a555a2a01c4400396a41f4152e78f02.SC2Replay
138,Patience,41,6867,700,8.0,70.0,343,P,0,replays/2ndRun\5a555a2a01c4400396a41f4152e78f02.SC2Replay
139,Scarlett,48,18365,3725,45.5,114.0,603,Z,1,replays/2ndRun\5a598bc081ef4a458152f27881deca42.SC2Replay
140,AxImpact,41,13129,4600,59.0,106.0,615,Z,0,replays/2ndRun\5a598bc081ef4a458152f27881deca42.SC2Replay
141,Silky,80,29144,8650,77.0,208.0,751,Z,1,replays/2ndRun\5a5addef396045b9bb601925ed074b1d.SC2Replay
142,jheffe,65,36720,4000,66.0,157.0,751,T,0,replays/2ndRun\5a5addef396045b9bb601925ed074b1d.SC2Replay
143,qbeN,57,27397,1675,21.0,117.0,668,P,1,replays/2ndRun\5a6d90e793bb44fa9f7eaf16931322bd.SC2Replay
144,WhiteWolf,46,31722,3250,55.0,118.0,671,T,0,replays/2ndRun\5a6d90e793bb44fa9f7eaf16931322bd.SC2Replay
145,FireCake,69,36974,5850,62.0,154.0,894,Z,0,replays/2ndRun\5a7824a0386242bda48976a3504ae196.SC2Replay
146,Has,57,21824,500,5.0,125.0,638,P,1,replays/2ndRun\5a7824a0386242bda48976a3504ae196.SC2Replay
147,Mana,42,10564,1525,16.0,78.0,497,P,1,replays/2ndRun\5a7a410de4ec4a20807596b381e7f586.SC2Replay
148,Future,38,13047,1675,20.0,70.0,507,T,0,replays/2ndRun\5a7a410de4ec4a20807596b381e7f586.SC2Replay
149,Harstem,67,16468,1075,11.0,117.0,574,P,0,replays/2ndRun\5a7bdbfc573a4551997ec0e48f27fc6e.SC2Replay
150,GOStephano,69,23621,3425,31.5,128.0,590,Z,1,replays/2ndRun\5a7bdbfc573a4551997ec0e48f27fc6e.SC2Replay
151,liquidthermy,67,22458,7425,116.0,212.0,860,T,1,replays/2ndRun\5a9ea1cf006644189bdd9b3008009b00.SC2Replay
152,Neeblet,73,35872,3350,38.0,188.0,830,P,0,replays/2ndRun\5a9ea1cf006644189bdd9b3008009b00.SC2Replay
153,Happy,63,36205,7475,113.0,197.0,855,T,1,replays/2ndRun\5aa05a57775d4aee9948fe128a34e0e5.SC2Replay
154,SortOf,66,45325,10050,114.0,206.0,851,Z,0,replays/2ndRun\5aa05a57775d4aee9948fe128a34e0e5.SC2Replay
155,JonSnow,72,35290,7550,94.0,160.0,1137,Z,0,replays/2ndRun\5aca990be1ea42bd9b8115cba909e4ef.SC2Replay
156,uThermal,66,40167,6500,91.0,165.0,1019,T,1,replays/2ndRun\5aca990be1ea42bd9b8115cba909e4ef.SC2Replay
157,CMStormPolt,63,19719,4700,72.0,165.0,710,T,1,replays/2ndRun\5ae5701fa20d4bb0b0a597ee9e5bae3e.SC2Replay
158,Lambo,68,25462,8625,98.5,226.0,708,Z,0,replays/2ndRun\5ae5701fa20d4bb0b0a597ee9e5bae3e.SC2Replay
159,Neeb,42,10095,200,2.0,78.0,439,P,1,replays/2ndRun\5ae8ab20ddb44714a43466341d806bc9.SC2Replay
160,MaNa,32,10474,725,8.0,54.0,442,P,0,replays/2ndRun\5ae8ab20ddb44714a43466341d806bc9.SC2Replay
161,MCanning,66,42052,2950,30.0,157.0,1050,P,1,replays/2ndRun\5af6c0d61ea0414c98b5c0d3b15fb664.SC2Replay
162,GAMETIME,67,24998,6900,62.0,176.0,1049,Z,0,replays/2ndRun\5af6c0d61ea0414c98b5c0d3b15fb664.SC2Replay
163,InZaNe,31,7265,1250,14.0,62.0,393,T,0,replays/2ndRun\5af6c9a896834eec8a6f9a4872e844a4.SC2Replay
164,Clem,34,9290,1700,21.0,62.0,421,T,1,replays/2ndRun\5af6c9a896834eec8a6f9a4872e844a4.SC2Replay
165,Serral,23,8522,1775,19.5,44.0,421,Z,0,replays/2ndRun\5b06f35834b4487e961da45b07917e58.SC2Replay
166,Nerchio,33,6344,2650,26.0,76.0,487,Z,1,replays/2ndRun\5b06f35834b4487e961da45b07917e58.SC2Replay
167,INnoVation,69,49053,6550,92.0,265.0,1090,T,0,replays/2ndRun\5b0763c7406444dd9dbfc528977f6edf.SC2Replay
168,RAIL,73,63209,5875,60.0,235.0,1046,P,1,replays/2ndRun\5b0763c7406444dd9dbfc528977f6edf.SC2Replay
169,JJAKJI,54,12245,2350,41.0,102.0,587,T,1,replays/2ndRun\5b07e50ec09141379d2419d452514b39.SC2Replay
170,PtitDrogo,65,15300,1225,14.0,109.0,532,P,0,replays/2ndRun\5b07e50ec09141379d2419d452514b39.SC2Replay
171,Reynor,26,4344,1375,16.5,44.0,375,Z,1,replays/2ndRun\5b12cdede61a42f7885930051e7ffa5c.SC2Replay
172,iAsonu,37,6895,900,8.0,44.0,372,Z,0,replays/2ndRun\5b12cdede61a42f7885930051e7ffa5c.SC2Replay
173,Beez,32,9062,1350,12.0,60.0,405,Z,0,replays/2ndRun\5b26a56f95c743ca9f47a4d1cac49997.SC2Replay
174,Bly,36,7911,1700,17.0,60.0,381,Z,1,replays/2ndRun\5b26a56f95c743ca9f47a4d1cac49997.SC2Replay
175,Elazer,33,4391,1050,8.0,44.0,294,Z,0,replays/2ndRun\5b2d3fc22b1e4fcc9085ccfc95f57e5c.SC2Replay
176,TYTY,28,4670,350,6.0,46.0,289,T,0,replays/2ndRun\5b2d3fc22b1e4fcc9085ccfc95f57e5c.SC2Replay
177,LiquidTLO,64,19085,6400,67.0,144.0,680,Z,1,replays/2ndRun\5b44be67b42c4fcf83f8612f7fee6d50.SC2Replay
178,liquidthermy,56,19062,4225,69.0,149.0,710,T,0,replays/2ndRun\5b44be67b42c4fcf83f8612f7fee6d50.SC2Replay
179,Stats,57,15882,1275,15.0,117.0,540,P,1,replays/2ndRun\5b4f9d6327044b07910fba3db0c9d1f8.SC2Replay
180,Nerchio,64,10150,1750,13.0,90.0,487,Z,0,replays/2ndRun\5b4f9d6327044b07910fba3db0c9d1f8.SC2Replay
181,Impact,19,3610,600,3.0,30.0,259,Z,1,replays/2ndRun\5b7e542d84154f1da031859bbf8e578e.SC2Replay
182,losira,18,4965,1075,12.5,30.0,331,Z,0,replays/2ndRun\5b7e542d84154f1da031859bbf8e578e.SC2Replay
183,Semper,69,30200,4675,69.0,157.0,720,T,1,replays/2ndRun\5b842fbb164a485bbe3a9b52198eed06.SC2Replay
184,NoRegreT,60,20359,4000,39.0,122.0,615,Z,0,replays/2ndRun\5b842fbb164a485bbe3a9b52198eed06.SC2Replay
185,Poizon,33,6922,175,2.0,54.0,346,P,0,replays/2ndRun\5b99e3c38dd949b7a3c088c046f1e8d2.SC2Replay
186,GogojOey,43,6959,1650,13.0,74.0,373,Z,1,replays/2ndRun\5b99e3c38dd949b7a3c088c046f1e8d2.SC2Replay
187,TIME,22,3018,150,2.0,31.0,196,T,0,replays/2ndRun\5ba7f08bbdfb476cbaeb6baf27093bfe.SC2Replay
188,NoRegreT,16,3205,800,9.0,30.0,227,Z,1,replays/2ndRun\5ba7f08bbdfb476cbaeb6baf27093bfe.SC2Replay
189,Serral,46,12984,4500,55.0,114.0,602,Z,0,replays/2ndRun\5bb4472a37244316bf4e0b2d766d68eb.SC2Replay
190,llllllllllll,61,14763,1950,20.0,117.0,568,P,1,replays/2ndRun\5bb4472a37244316bf4e0b2d766d68eb.SC2Replay
191,DnS,34,5586,500,6.0,46.0,320,P,0,replays/2ndRun\5bd2f024c489458ca6c1af7980c120a9.SC2Replay
192,RlSky,42,12445,1275,8.5,74.0,420,Z,1,replays/2ndRun\5bd2f024c489458ca6c1af7980c120a9.SC2Replay
193,uThermal,62,22941,3450,54.0,133.0,705,T,1,replays/2ndRun\5be2329a089c434b8d22fd7338510dd5.SC2Replay
194,BackupC,44,23683,3175,44.0,101.0,690,T,0,replays/2ndRun\5be2329a089c434b8d22fd7338510dd5.SC2Replay
195,PtitDrogo,43,12418,1500,17.0,86.0,525,P,1,replays/2ndRun\5bf3e3aa137d45be8459d48ddc505db2.SC2Replay
196,HaPe,33,11709,1825,18.0,70.0,520,P,0,replays/2ndRun\5bf3e3aa137d45be8459d48ddc505db2.SC2Replay
197,PiG,76,73598,9925,98.5,246.0,1007,Z,0,replays/2ndRun\5bf8ae102d6e460fb642d574a3c7ff90.SC2Replay
198,NoPinSea,63,40081,4100,45.0,181.0,975,P,1,replays/2ndRun\5bf8ae102d6e460fb642d574a3c7ff90.SC2Replay
199,ByuN,48,36292,6925,98.0,189.0,826,T,0,replays/2ndRun\5c3877648d404241a0263b4e453fb10d.SC2Replay
200,Ryung,52,36155,7350,100.0,181.0,832,T,1,replays/2ndRun\5c3877648d404241a0263b4e453fb10d.SC2Replay
201,Guru,60,21630,6825,67.5,162.0,624,Z,0,replays/2ndRun\5c3f3dbab67740b0a07c21d6d0d7eade.SC2Replay
