,player,total_workers,total_army_value,total_army,fraction,winner,replay_filename
312,harstem,75,8090,75,P,1,replays/1stRun\1da98b12f5184c9fae0d8f2e7caf19cd.SC2Replay
313,Denver,64,11675,89,Z,0,replays/1stRun\1da98b12f5184c9fae0d8f2e7caf19cd.SC2Replay
314,Kelazhur,46,925,11,T,1,replays/1stRun\1dbbb35390c04fce89aca9353aabddb6.SC2Replay
315,Nerchio,52,1900,13,Z,0,replays/1stRun\1dbbb35390c04fce89aca9353aabddb6.SC2Replay
316,Elazer,65,4950,47,Z,1,replays/1stRun\1e18c16aa46d4385985a8f047d8de949.SC2Replay
317,Namshar,68,3900,37,Z,0,replays/1stRun\1e18c16aa46d4385985a8f047d8de949.SC2Replay
318,Elazer,47,4150,73,Z,0,replays/1stRun\1e444807f6f64e4890862cb3ecea573d.SC2Replay
319,Scarlett,46,3375,36,Z,1,replays/1stRun\1e444807f6f64e4890862cb3ecea573d.SC2Replay
320,RiSky,81,6300,53,Z,1,replays/1stRun\1e4a3cfef7ae45e58cc705317f0efd03.SC2Replay
321,Drager,66,4775,18,P,0,replays/1stRun\1e4a3cfef7ae45e58cc705317f0efd03.SC2Replay
322,MaSa,44,1550,25,T,1,replays/1stRun\1e4af065e15f4cb8ae262f53b42bb8cd.SC2Replay
323,SirRobin,54,1925,24,Z,0,replays/1stRun\1e4af065e15f4cb8ae262f53b42bb8cd.SC2Replay
324,LiquidSnute,63,9400,199,Z,1,replays/1stRun\1e4fd9e70cf14f999ac2ba8a0f88267f.SC2Replay
325,JJAKJI,69,7900,92,T,0,replays/1stRun\1e4fd9e70cf14f999ac2ba8a0f88267f.SC2Replay
326,aAaMiNiMaTh,69,10175,88,Z,0,replays/1stRun\1e6b314a4b0f4f639a5b552f491c3570.SC2Replay
327,qbeN,74,2700,8,P,1,replays/1stRun\1e6b314a4b0f4f639a5b552f491c3570.SC2Replay
328,SpeCial,45,1275,14,T,1,replays/1stRun\1e8636d151df4b9cbe55b5fd9480e58e.SC2Replay
329,Crimson,40,2550,22,Z,0,replays/1stRun\1e8636d151df4b9cbe55b5fd9480e58e.SC2Replay
330,Neuro,19,650,12,Z,0,replays/1stRun\1e88354516274132afee0e93d451af91.SC2Replay
331,daydrA,21,950,16,Z,1,replays/1stRun\1e88354516274132afee0e93d451af91.SC2Replay
332,BLY,59,6750,55,Z,1,replays/1stRun\1e975f3a076240a29be9ca952fa0eaa0.SC2Replay
333,LiquidSnute,78,4600,39,Z,0,replays/1stRun\1e975f3a076240a29be9ca952fa0eaa0.SC2Replay
334,SpeCial,63,3575,45,T,1,replays/1stRun\1ebc123279f24fb1b82a96a7fa148c33.SC2Replay
335,Crimson,66,4250,73,Z,0,replays/1stRun\1ebc123279f24fb1b82a96a7fa148c33.SC2Replay
336,doudou,69,4725,58,T,0,replays/1stRun\1ecdae615d8b488aaceb098e50962b80.SC2Replay
337,Psmoonsun,69,6125,25,P,0,replays/1stRun\1ecdae615d8b488aaceb098e50962b80.SC2Replay
338,PsRush,0,0,0,U,0,replays/1stRun\1ecdae615d8b488aaceb098e50962b80.SC2Replay
339,开局要打鸡儿盒饭,0,0,0,U,0,replays/1stRun\1ecdae615d8b488aaceb098e50962b80.SC2Replay
340,iaguz,65,3975,51,T,1,replays/1stRun\1ed8b67104194ffdbc124c9387d4ee77.SC2Replay
341,TooDming,78,3550,56,Z,0,replays/1stRun\1ed8b67104194ffdbc124c9387d4ee77.SC2Replay
342,Bunny,52,850,7,T,1,replays/1stRun\1eddbeb4741f409b8fcb2f6247f1c3ad.SC2Replay
343,YoGo,34,2675,51,Z,0,replays/1stRun\1eddbeb4741f409b8fcb2f6247f1c3ad.SC2Replay
344,ZhuGeLiang,48,2350,43,Z,1,replays/1stRun\1edf7ec6a2b54990b5db82fabac72afa.SC2Replay
345,HuShang,46,525,3,P,0,replays/1stRun\1edf7ec6a2b54990b5db82fabac72afa.SC2Replay
346,PandaBearMe,32,1275,22,Z,1,replays/1stRun\1ee8b1d201b245b2bd3b66f083c05217.SC2Replay
347,Livibee,31,900,11,Z,0,replays/1stRun\1ee8b1d201b245b2bd3b66f083c05217.SC2Replay
348,Elazer,41,5125,66,Z,1,replays/1stRun\1f1e5655301944fc944fdd82c431e491.SC2Replay
349,Hydra,47,3400,48,Z,0,replays/1stRun\1f1e5655301944fc944fdd82c431e491.SC2Replay
350,Nice,41,975,4,P,1,replays/1stRun\1f4f7c98f2e84270a76f429589c6dcbd.SC2Replay
351,Expect,41,750,5,T,0,replays/1stRun\1f4f7c98f2e84270a76f429589c6dcbd.SC2Replay
352,TRUE,14,1500,36,Z,1,replays/1stRun\1f5ee72f332e44a39de1ae18b2caf03a.SC2Replay
353,TLO,17,1400,29,Z,0,replays/1stRun\1f5ee72f332e44a39de1ae18b2caf03a.SC2Replay
354,liquidthermy,22,700,3,P,0,replays/1stRun\1f7c024be5a74f539ffe3ae41c1ac448.SC2Replay
355,FanTaSy,21,950,10,T,1,replays/1stRun\1f7c024be5a74f539ffe3ae41c1ac448.SC2Replay
