,player,total_workers,total_army_value,total_army,time,fraction,winner,replay_filename,resource_consumption,resource_mining
169,Bistork,58,3200,16,693,P,0,replays/1stRun\0d1eabc153d044009d80f17c4341b8ff.SC2Replay,3100.0,16077.600000000002
170,aLive,55,2450,29,618,T,1,replays/1stRun\0d2918aed9ea41edb56740fdddf5a392.SC2Replay,2834.4827586206898,13596.0
171,Stats,61,2375,10,563,P,0,replays/1stRun\0d2918aed9ea41edb56740fdddf5a392.SC2Replay,3287.5,13737.2
172,PtitDrogo,47,1925,9,584,P,1,replays/1stRun\0d2ce362692c437d96b7855e7c638d62.SC2Replay,2563.8888888888887,10979.2
173,Creature,46,1775,9,573,P,0,replays/1stRun\0d2ce362692c437d96b7855e7c638d62.SC2Replay,2497.222222222222,10543.2
174,Solar,50,1625,21,398,Z,1,replays/1stRun\0d3265503b894f6cb9fe69fea7b834f7.SC2Replay,2577.3809523809523,7960.0
175,Snute,37,1650,23,404,Z,0,replays/1stRun\0d3265503b894f6cb9fe69fea7b834f7.SC2Replay,1921.7391304347825,5979.200000000001
176,BAILS,43,1900,8,671,P,0,replays/1stRun\0d5fe948df28477baea2253d9240af64.SC2Replay,2387.5,11541.199999999999
177,Harstem,43,1900,7,728,P,1,replays/1stRun\0d5fe948df28477baea2253d9240af64.SC2Replay,2421.428571428572,12521.6
178,Neeb,35,425,2,307,P,0,replays/1stRun\0d72a5498e2f4b509bd494a0e35a78b8.SC2Replay,1962.5,4298.0
179,Semper,29,550,9,306,T,1,replays/1stRun\0d72a5498e2f4b509bd494a0e35a78b8.SC2Replay,1511.111111111111,3549.6000000000004
180,Kelazhur,33,1850,15,529,T,1,replays/1stRun\0d7dd4924c304393b3d1c05ce25a02d9.SC2Replay,1773.3333333333333,6982.8
181,Optimus,29,1775,14,550,T,0,replays/1stRun\0d7dd4924c304393b3d1c05ce25a02d9.SC2Replay,1576.7857142857142,6380.000000000001
182,iaguz,42,1175,12,447,T,0,replays/1stRun\0d89d0b8db504a9284dc966f39227ed8.SC2Replay,2197.9166666666665,7509.6
183,TooDming,53,3175,33,525,Z,1,replays/1stRun\0d89d0b8db504a9284dc966f39227ed8.SC2Replay,2746.212121212121,11130.000000000002
184,JJAKJI,28,750,5,323,T,1,replays/1stRun\0d940d9f79c74c0490e59b289e01f3e7.SC2Replay,1550.0,3617.6000000000004
185,PtitDrogo,25,575,4,318,P,0,replays/1stRun\0d940d9f79c74c0490e59b289e01f3e7.SC2Replay,1393.75,3180.0
186,RAIL,36,725,4,316,P,0,replays/1stRun\0d94a3d70d1c43398a5a716947816ccc.SC2Replay,1981.25,4550.400000000001
187,INnoVation,32,500,9,317,T,1,replays/1stRun\0d94a3d70d1c43398a5a716947816ccc.SC2Replay,1655.5555555555557,4057.6000000000004
188,Solar,62,10600,93,962,Z,1,replays/1stRun\0dd49187d0e2460d950aa164b407dad0.SC2Replay,3213.978494623656,23857.600000000002
189,LiquidSnute,55,10400,111,954,Z,0,replays/1stRun\0dd49187d0e2460d950aa164b407dad0.SC2Replay,2843.6936936936936,20988.0
190,SpeCial,52,2700,16,559,T,1,replays/1stRun\0df45e484df145619517cd9c2f9c7ce8.SC2Replay,2768.75,11627.2
191,Pokebunny,46,2225,20,565,T,0,replays/1stRun\0df45e484df145619517cd9c2f9c7ce8.SC2Replay,2411.25,10396.000000000002
192,ByuN,47,2450,30,556,T,1,replays/1stRun\0dffaad1493241d3a281cbd1085c3bb6.SC2Replay,2431.6666666666665,10452.800000000001
